WHO list of vaccinable conditions,ICD-11 code,ICD-11 URI,ICD-10 code ,ICD-9-CM code
Varicella (chicken pox) ,XM8DG3,http://id.who.int/icd/entity/643642263 ,Y59.0,V05.4
Yellow fever,XM0N24,http://id.who.int/icd/entity/187973104,Y59.0,V04.4
COVID-19,COVID-19 codes will be added later this week,,,
,,,,
,,,,
Biological sex,ICD-11 code,ICD-11 URI,,
Female,XX2V25,http://id.who.int/icd/entity/990378205,,
Male,XX2UQ8,http://id.who.int/icd/entity/1591498088 ,,
Intersex,XX45B7,http://id.who.int/icd/entity/175182057 ,,
Biological sex not specified , XX2PX3,http://id.who.int/icd/entity/16562053 ,,
,,,,
ICF ,,,,
 no codes for vaccines within ICF,,,,
,,,,
ICHI,ICHI code,ICHI URI,,
Oral administration of immunlogical ,DTB.DB.AC,http://id.who.int/ichi/entity/1490896210,,
"Percutaneous administration of immunological agent, not elsewhere classified",DTB.DB.AE,http://id.who.int/ichi/entity/1216934574,,
Intravenous adminstration of immunological agent,DTB.DB.AF,http://id.who.int/ichi/entity/221792245,,
,,,,
**new codes for vaccination coming in next release of ICHI with new action for Vaccination early next year,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
SNOMED CT (GPS),Concept ID,,,
Administration of vaccine product containing only Streptococcus pneumoniae antigen (procedure),12866006,,,
Administration of vaccine product containing only Salmonella enterica subspecies enterica serovar Typhi antigen (procedure),15483003,,,
Administration of vaccine product containing only Hepatitis B virus antigen (procedure),16584000,,,
Administration of vaccine to produce active immunity (procedure),33879002,,,
Administration of vaccine product containing only Rabies lyssavirus antigen (procedure),34631000,,,
Typhus vaccine (medicinal product),37146000,,,
Administration of vaccine product containing only Measles morbillivirus and Mumps orthorubulavirus and Rubella virus antigens (procedure),38598009,,,
Administration of vaccine product containing only Bordetella pertussis antigen (procedure),39343008,,,
Administration of vaccine product containing only Neisseria meningitidis antigen (procedure),41088001,,,
Administration of vaccine product containing only live attenuated Mycobacterium bovis antigen (procedure),42284007,,,
Administration of vaccine product containing only Measles morbillivirus antigen (procedure),47435007,,,
Administration of vaccine product containing only Mumps orthorubulavirus antigen (procedure),50583002,,,
Vaccine product containing Clostridium tetani toxoid antigen adsorbed (medicinal product),58098008,,,
Administration of vaccine product containing only Yellow fever virus antigen (procedure),67308009,,,
Vaccine product containing Clostridium tetani toxoid adsorbed and Corynebacterium diphtheriae toxoid antigens (medicinal product),68208009,,,
Administration of vaccine product containing only Human poliovirus antigen (procedure),72093006,,,
Administration of vaccine product containing only Clostridium tetani and Corynebacterium diphtheriae antigens (procedure),73152006,,,
Administration of vaccine product containing only Corynebacterium diphtheriae antigen (procedure),76668005,,,
Administration of vaccine product containing only Rubella virus antigen (procedure),82314000,,,
Administration of vaccine product containing only Influenza virus antigen (procedure),86198006,,,
Vaccine product containing whole cell Bordetella pertussis and Clostridium tetani toxoid adsorbed and Corynebacterium diphtheriae toxoid antigens (medicinal product),125580002,,,
Pneumococcal 7-valent conjugate vaccine (medicinal product),125714002,,,
Administration of vaccine product containing only Clostridium tetani antigen (procedure),127786006,,,
Administration of vaccine product containing only Haemophilus influenzae type B antigen (procedure),127787002,,,
Administration of vaccine product containing only Hepatitis A virus antigen (procedure),243789007,,,
Administration of vaccine product containing only Neisseria meningitidis serogroup A and C antigens (procedure),314417000,,,
Administration of single dose of vaccine product containing only Neisseria meningitidis serogroup C antigen (procedure),314450000,,,
Administration of vaccine product containing only Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae antigens (procedure),399014008,,,
Pentavalent botulinum toxoid vaccine (medicinal product),409568008,,,
Paratyphoid vaccine (medicinal product),428601009,,,
Pneumococcal 13-valent conjugate vaccine (medicinal product),448964007,,,
Administration of vaccine product containing only Human papillomavirus antigen (procedure),761841000,,,
Vaccine product containing only whole cell Bordetella pertussis and Clostridium tetani toxoid adsorbed and Corynebacterium diphtheriae toxoid antigens (medicinal product),774618008,,,
Vaccine product containing only Clostridium tetani toxoid adsorbed and Corynebacterium diphtheriae toxoid antigens (medicinal product),775641005,,,
Vaccine product containing only Clostridium tetani toxoid antigen adsorbed (medicinal product),777725002,,,
Vaccine product (medicinal product),787859002,,,
Vaccine product containing bacteria antigen (medicinal product),836368004,,,
Vaccine product containing virus antigen (medicinal product),836369007,,,
Vaccine product containing Hepatitis B virus antigen (medicinal product),836374004,,,
Vaccine product containing Hepatitis A virus antigen (medicinal product),836375003,,,
Vaccine product containing Influenza virus antigen (medicinal product),836377006,,,
Vaccine product containing Japanese encephalitis virus antigen (medicinal product),836378001,,,
Vaccine product containing Human papillomavirus antigen (medicinal product),836379009,,,
Vaccine product containing Haemophilus influenzae type B antigen (medicinal product),836380007,,,
Vaccine product containing Corynebacterium diphtheriae antigen (medicinal product),836381006,,,
Vaccine product containing Measles morbillivirus antigen (medicinal product),836382004,,,
Vaccine product containing Vibrio cholerae antigen (medicinal product),836383009,,,
Vaccine product containing Bacillus anthracis antigen (medicinal product),836384003,,,
Vaccine product containing Yellow fever virus antigen (medicinal product),836385002,,,
Vaccine product containing Rotavirus antigen (medicinal product),836387005,,,
Vaccine product containing Rubella virus antigen (medicinal product),836388000,,,
Vaccine product containing Vaccinia virus antigen (medicinal product),836389008,,,
Vaccine product containing Salmonella enterica subspecies enterica serovar Typhi antigen (medicinal product),836390004,,,
Vaccine product containing Rabies lyssavirus antigen (medicinal product),836393002,,,
Vaccine product containing Coxiella burnetii antigen (medicinal product),836397001,,,
Vaccine product containing Streptococcus pneumoniae antigen (medicinal product),836398006,,,
Vaccine product containing Neisseria meningitidis antigen (medicinal product),836401009,,,
Vaccine product containing live attenuated Mycobacterium bovis antigen (medicinal product),836402002,,,
Vaccine product containing Tick-borne encephalitis virus antigen (medicinal product),836403007,,,
Vaccine product containing Hepatitis A and Hepatitis B virus antigens (medicinal product),836493003,,,
Vaccine product containing Measles morbillivirus and Mumps orthorubulavirus and Rubella virus antigens (medicinal product),836494009,,,
Vaccine product containing Human alphaherpesvirus 3 antigen (medicinal product),836495005,,,
Vaccine product containing Measles morbillivirus and Mumps orthorubulavirus antigens (medicinal product),836499004,,,
Vaccine product containing only Haemophilus influenzae type B and Neisseria meningitidis serogroup C antigens (medicinal product),836500008,,,
Vaccine product containing Hepatitis A virus and Salmonella enterica subspecies enterica serovar Typhi antigens (medicinal product),836501007,,,
Vaccine product containing Clostridium tetani and Corynebacterium diphtheriae antigens (medicinal product),836502000,,,
Vaccine product containing Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae antigens (medicinal product),836503005,,,
Vaccine product containing Clostridium tetani and Haemophilus influenzae type B antigens (medicinal product),836504004,,,
Vaccine product containing Clostridium tetani and Corynebacterium diphtheriae and Human poliovirus antigens (medicinal product),836505003,,,
Vaccine product containing Clostridium tetani and Corynebacterium diphtheriae and Haemophilus influenzae type B antigens (medicinal product),836506002,,,
Vaccine product containing Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae and Haemophilus influenzae type B antigens (medicinal product),836507006,,,
Vaccine product containing Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae and Human poliovirus antigens (medicinal product),836508001,,,
Vaccine product containing Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae and Haemophilus influenzae type B and Human poliovirus antigens (medicinal product),838279002,,,
Vaccine product containing Human alphaherpesvirus 3 and Measles morbillivirus and Mumps orthorubulavirus and Rubella virus antigens (medicinal product),838280004,,,
Vaccine product containing Yersinia pestis antigen (medicinal product),840549009,,,
Vaccine product containing Borrelia burgdorferi antigen (medicinal product),840599008,,,
Vaccine product containing Haemophilus influenzae type B and Hepatitis B virus antigens (medicinal product),865946000,,,
Vaccine product containing only Mumps orthorubulavirus antigen (medicinal product),871737006,,,
Vaccine product containing only live attenuated Mumps orthorubulavirus antigen (medicinal product),871738001,,,
Vaccine product containing only inactivated whole Human poliovirus antigen (medicinal product),871740006,,,
Vaccine product containing only acellular Bordetella pertussis antigen (medicinal product),871759008,,,
Vaccine product containing only Measles morbillivirus antigen (medicinal product),871765008,,,
Vaccine product containing only Influenza virus antigen in nasal dose form (medicinal product),871768005,,,
Vaccine product containing only Influenza A virus subtype H1N1 antigen (medicinal product),871772009,,,
Vaccine product containing only Neisseria meningitidis serogroup C antigen (medicinal product),871866001,,,
Vaccine product containing only Neisseria meningitidis serogroup A and C antigens (medicinal product),871871008,,,
"Vaccine product containing only Neisseria meningitidis serogroup A, C, W135 and Y antigens (medicinal product)",871873006,,,
Vaccine product containing only acellular Bordetella pertussis and Corynebacterium diphtheriae and Hepatitis B virus and inactivated whole Human poliovirus antigens (medicinal product),871889009,,,
Vaccine product containing Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae and Hepatitis B virus and Human poliovirus antigens (medicinal product),871892008,,,
Vaccine product containing Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae and Haemophilus influenzae type B and Hepatitis B virus and Human poliovirus antigens (medicinal product),871896006,,,
Administration of vaccine product containing only live attenuated Human alphaherpesvirus 3 antigen (procedure),871898007,,,
Vaccine product containing Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae and Hepatitis B virus (medicinal product),871917002,,,
Vaccine product containing Rickettsia antigen (medicinal product),871918007,,,
Staphylococcus toxoid vaccine (medicinal product),871921009,,,
Vaccine product containing Bordetella pertussis and Clostridium tetani toxoid and Corynebacterium diphtheriae toxoid and Haemophilus influenzae type B and Hepatitis B virus and Human poliovirus antigens (medicinal product),871923007,,,
Vaccine product containing Bordetella pertussis antigen (medicinal product),6.01E+11,,,
Vaccine product containing only live attenuated Salmonella enterica subspecies enterica serovar Typhi antigen in oral dose form (medicinal product form),9.71E+11,,,
Vaccine product containing only inactivated whole Vibrio cholerae antigen in oral dose form (medicinal product form),1.001E+12,,,
Vaccine product containing only live attenuated Vibrio cholerae antigen in oral dose form (medicinal product form),1.011E+12,,,
Vaccine product containing Human poliovirus antigen (medicinal product),1.031E+12,,,
Vaccine product containing only live attenuated Human poliovirus serotypes 1 and 3 antigens in oral dose form (medicinal product form),1.051E+12,,,
Vaccine product containing only live attenuated Rotavirus antigen (medicinal product),1.081E+12,,,
Vaccine product containing Clostridium tetani toxoid antigen (medicinal product),1.101E+12,,,
Vaccine product containing only live attenuated Yellow fever virus antigen (medicinal product),1.121E+12,,,
Vaccine product containing only inactivated whole Rabies lyssavirus antigen (medicinal product),1.131E+12,,,
Vaccine product containing only Influenza virus antigen (medicinal product),1.181E+12,,,
Vaccine product containing only Streptococcus pneumoniae capsular polysaccharide antigen conjugated (medicinal product),1.801E+12,,,
Vaccine product containing only Neisseria meningitidis serogroup B antigen (medicinal product),1.981E+12,,,
"Vaccine product containing only live attenuated Human poliovirus serotypes 1, 2, and 3 antigens in parenteral dose form (medicinal product form)",2.011E+12,,,
Vaccine product containing only Salmonella enterica subspecies enterica serovar Typhi capsular polysaccharide unconjugated antigen in parenteral dose form (medicinal product form),2.171E+12,,,
Vaccine product containing only live attenuated Human alphaherpesvirus 3 antigen (medicinal product),2.221E+12,,,
,,,,
,,,,
IDMP - Identification of Medicinal Products - not a free product; could not obtain codes.,,,,
,,,,
LOINC - long name,LOINC ,,,
Hepatitis B vaccination received,72056-5 (trial),,,
Influenza virus vaccination received,72058-1,,,
Influenza vaccination received in Reporting Period [CMS Assessment],57208-1,,,
Pneumococcal vaccination been received,72057-3,,,
Pneumococcal vaccination received [CMS Assessment],85916-5,,,
Pneumococcal vaccination up to date [CMS Assessment],55022-8,,,
