en,es,fr,ar,zh,ru
rhodium,rodio,rhodium,الروديوم,铑,родий
palladium,paladio,palladium,البلاديوم,钯,палладий
silver,plata,argent,فضة,银,Серебряный
cadmium,cadmio,cadmium,الكادميوم,镉,кадмий
indium,indio,indium,الإنديوم,铟,индий
tin,creer,croire,يصدق,相信,полагать
antimony,antimonio,antimoine,الأنتيمون,锑,сурьма
tellurium,telurio,tellure,التيلوريوم,碲,теллур
iodine,yodo,iode,اليود,碘,йод
xenon,xenón,xénon,زينون,氙,ксенон
cesium,cesio,césium,سيزيوم,铯,цезий
barium,bario,baryum,الباريوم,钡,барий
lanthanum,lantano,lanthane,اللانثانم,镧,лантан
cerium,cerio,cérium,السيريوم,铈,церий
praseodymium,praseodimio,praséodyme,البراسيوديميوم,镨,празеодим
neodymium,neodimio,néodyme,النيوديميوم,钕,неодим
promethium,prometeo,prométhium,بروميثيوم,钷,прометий
samarium,samario,samarium,السماريوم,钐,самарий
europium,europio,europium,اليوروبيوم,铕,европий
gadolinium,gadolinio,gadolinium,الجادولينيوم,钆,гадолиний
terbium,terbio,terbium,تيربيوم,铽,тербий
dysprosium,disprosio,dysprosium,الديسبروسيوم,镝,диспрозий
holmium,holmio,holmium,هولميوم,钬,гольмий
erbium,erbio,erbium,الإربيوم,铒,эрбий
thulium,tulio,thulium,الثوليوم,铥,тулий
ytterbium,iterbio,ytterbium,الإيتربيوم,镱,иттербий
lutetium,lutecio,lutécium,اللوتيتيوم,镏,лютеций
hafnium,hafnio,hafnium,الهافنيوم,铪,гафний
tantalum,tantalio,tantale,التنتالوم,钽,тантал
tungsten,tungsteno,tungstène,التنغستن,钨,вольфрам
rhenium,renio,rhénium,الرينيوم,铼,рений
osmium,osmio,osmium,الأوزميوم,锇,осмий
iridium,iridio,iridium,إيريديوم,铱,иридий
platinum,platino,platine,البلاتين,铂,платина
gold,oro,or,ذهب,金子,золото
mercury,mercurio,Mercure,الزئبق,汞,Меркурий
thallium,talio,thallium,الثاليوم,铊,таллий
lead,dirigir,mener,قيادة,带领,привести
bismuth,bismuto,bismuth,البزموت,铋,висмут
polonium,polonio,polonium,البولونيوم,钋,полоний
astatine,astato,astate,أستاتين,砹,астатин
radon,radón,radon,رادون,氡,радон
francium,francio,francium,فرانسيوم,钫,франций
radium,radio,radium,الراديوم,镭,радий
actinium,actinio,actinium,الأكتينيوم,锕,актиний
thorium,torio,thorium,الثوريوم,钍,торий
protactinium,protactinio,protactinium,البروتكتينيوم,镤,протактиний
uranium,uranio,uranium,اليورانيوم,铀,уран
neptunium,neptunio,neptunium,النبتونيوم,镎,нептуний
plutonium,plutonio,plutonium,البلوتونيوم,钚,плутоний
americium,americio,américium,الأمريسيوم,镅,америций
curium,curio,curium,الكوريوم,锔,кюрий
berkelium,berkelio,berkélium,بيركيليوم,锫,берклий
californium,californio,Californie,كاليفورنيوم,锎,калифорний
einsteinium,einstenio,einsteinium,أينشتينيوم,锕,эйнштейний
fermium,fermio,fermium,الفيرميوم,铁,фермий
mendelevium,mendelevio,mendelevium,مندليفيوم,钔,менделевий
nobelium,nobelio,nobélium,نوبليوم,贵金属,нобелий
lawrencium,Lawrencio,lawrencium,لورنسيوم,蒿属,лоуренсий
rutherfordium,rutherfordio,rutherfordium,رذرفورديوم,卢瑟福,резерфордий
dubnium,dubnium,dubnium,دوبنيوم,杜邦,дубний
seaborgium,seaborgio,seaborgium,سيبورجيوم,海藻,сиборгий
bohrium,bohrium,bohème,البوهريوم,硼,бориум
hassium,hassium,hassium,الهاسيوم,哈苏姆,хасиум
meitnerium,meitnerio,meitnerium,meitnerium,肌钙蛋白,мейтнерий
darmstadtium,Darmstadtium,darmstadtium,دارمشتاتيوم,达姆施塔特,Дармштадтиум
roentgenium,roentgenium,roentgenium,رونتجينيوم,伦琴,рентгений
copernicium,copernicio,copernicium,كوبرنيسيوم,哥白尼,копернициум
nihonium,nihonium,nihonium,نيهونيوم,镍,нихоний
flerovium,flerovium,flérovium,الفليروفيوم,黄花菜,флеровий
moscovium,moscovio,Moscou,موسكوفيوم,莫斯科,москва
livermorium,livermorium,foiemorium,ليفرموريوم,肝素,ливерморий
tennessine,tennessine,tennessine,تينسين,田纳西,Tennessine
oganesson,Oganesson,oganesson,oganesson,奥加内森,Оганессон
