"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"DVCPayload","DVCPayload","","","",0,*,"","","","null {[]} {[]}
","DVC HCERT Payload","Payload for Digital Vaccination Certificate - DVC CBOR Web Token Logical Model","","","","","","","","","",,,,,"",,,,"Base",0,*,"","mustHaveIsOrCn:Either issuer or clinicianName must be present {v.is.exists() or v.cn.exists()}
"
"DVCPayload.v.dn","DVCPayload.v.dn","","","",1,1,"","","","code {[]} {[]}
","Dose Number","Dose Number","","","","","","","","","",,,,,"",,,,"DVCPayload.v.dn",1,1,"",""
"DVCPayload.v.tg","DVCPayload.v.tg","","","",1,1,"","","","code {[]} {[]}
","Name of disease or condition vaccinated or received prophylaxis against","Name of disease or condition vaccinated or received prophylaxis against","","","","","","","","","",,,,,"",,,,"DVCPayload.v.tg",1,1,"",""
"DVCPayload.v.vp","DVCPayload.v.vp","","","",1,1,"","","","code {[]} {[]}
","Vaccine or prophylaxis classification code","Vaccine or prophylaxis classification code","","","","","","","","","",,,,,"",,,,"DVCPayload.v.vp",1,1,"",""
"DVCPayload.v.mp","DVCPayload.v.mp","","","",0,1,"","","","id {[]} {[]}
","Vaccine Trade item id","Vaccine Trade item id","","","","","","","","","",,,,,"",,,,"DVCPayload.v.mp",0,1,"",""
"DVCPayload.v.ma","DVCPayload.v.ma","","","",1,1,"","","","string {[]} {[]}
","manufacturer name","manufacturer name","","","","","","","","","",,,,,"",,,,"DVCPayload.v.ma",1,1,"",""
"DVCPayload.v.mid","DVCPayload.v.mid","","","",0,1,"","","","id {[]} {[]}
","manufacturer id","manufacturer id","","","","","","","","","",,,,,"",,,,"DVCPayload.v.mid",0,1,"",""
"DVCPayload.v.dt","DVCPayload.v.dt","","","",1,1,"","","","date {[]} {[]}
","Date of vaccination, YYYY-MM-DD format","Date of vaccination, YYYY-MM-DD format","","","","","","","","","",,,,,"",,,,"DVCPayload.v.dt",1,1,"",""
"DVCPayload.v.bo","DVCPayload.v.bo","","","",1,1,"","","","string {[]} {[]}
","Batch No","Batch No","","","","","","","","","",,,,,"",,,,"DVCPayload.v.bo",1,1,"",""
"DVCPayload.v.vls","DVCPayload.v.vls","","","",0,1,"","","","date {[]} {[]}
","Certificate Validity periods start date","Certificate Validity periods start date","","","","","","","","","",,,,,"",,,,"DVCPayload.v.vls",0,1,"",""
"DVCPayload.v.vle","DVCPayload.v.vle","","","",0,1,"","","","date {[]} {[]}
","Certificate Validity periods end date","Certificate Validity periods end date","","","","","","","","","",,,,,"",,,,"DVCPayload.v.vle",0,1,"",""
"DVCPayload.v.cn","DVCPayload.v.cn","","","",0,1,"","","","string {[]} {[]}
","Name of supervising clinician","Name of supervising clinician","","","","","","","","","",,,,,"",,,,"DVCPayload.v.cn",0,1,"",""
"DVCPayload.v.is","DVCPayload.v.is","","","",0,1,"","","","id {[]} {[]}
","Certificate issuer id (referenced organization)","Certificate issuer id (referenced organization)","","","","","","","","","",,,,,"",,,,"DVCPayload.v.is",0,1,"",""
